selection_scope,outer_fold,comparison_name,model_type,p,tuning_mode,tuning_metric,trial_number,n_trials_planned,tuning_score,best_tuning_score_so_far,model_params
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,2,10,0.8712,0.8712,{'alpha': 13.3}
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,3,10,0.8695,0.8712,{'alpha': 1.55}
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,4,10,0.8692,0.8712,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,5,10,0.8692,0.8712,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,6,10,0.8692,0.8712,{'alpha': 0.000255}
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,7,10,0.864,0.8712,{'alpha': 116.0}
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,8,10,0.8696,0.8712,{'alpha': 1.61}
outer_fold_0,0,method_scores_plus_glide_uncertainty,ridge,7,nested,spearman,9,10,0.8715,0.8715,{'alpha': 9.05}
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,0,10,0.8492,0.8492,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,1,10,0.8151,0.8492,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,2,10,0.7931,0.8492,"{'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,3,10,0.8706,0.8706,"{'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,4,10,0.8672,0.8706,"{'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,5,10,0.8673,0.8706,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,6,10,0.857,0.8706,"{'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,7,10,0.8733,0.8733,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,8,10,0.8226,0.8733,"{'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
outer_fold_0,0,method_scores_plus_glide_uncertainty,xgboost,7,nested,spearman,9,10,0.8736,0.8736,"{'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72}"
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,0,10,0.9015,0.9015,{'alpha': 0.0419}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,1,10,0.867,0.9015,{'alpha': 452.0}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,2,10,0.9034,0.9034,{'alpha': 13.3}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,3,10,0.9014,0.9034,{'alpha': 1.55}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,4,10,0.9015,0.9034,{'alpha': 0.00124}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,5,10,0.9015,0.9034,{'alpha': 0.00124}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,6,10,0.9015,0.9034,{'alpha': 0.000255}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,7,10,0.8925,0.9034,{'alpha': 116.0}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,8,10,0.9014,0.9034,{'alpha': 1.61}
outer_fold_0,0,method_ranks,ridge,6,nested,spearman,9,10,0.9026,0.9034,{'alpha': 9.05}
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,0,10,0.8415,0.8415,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,1,10,0.8141,0.8415,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,2,10,0.7995,0.8415,"{'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,3,10,0.868,0.868,"{'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,4,10,0.8667,0.868,"{'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,5,10,0.8683,0.8683,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,6,10,0.8531,0.8683,"{'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,7,10,0.8787,0.8787,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,8,10,0.8288,0.8787,"{'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
outer_fold_0,0,method_ranks,xgboost,6,nested,spearman,9,10,0.8776,0.8787,"{'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72}"
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,0,10,0.8937,0.8937,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,1,10,0.8751,0.8937,{'alpha': 452.0}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,2,10,0.8973,0.8973,{'alpha': 13.3}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,3,10,0.8958,0.8973,{'alpha': 1.55}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,4,10,0.8936,0.8973,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,5,10,0.8936,0.8973,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,6,10,0.8936,0.8973,{'alpha': 0.000255}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,7,10,0.8936,0.8973,{'alpha': 116.0}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,8,10,0.8962,0.8973,{'alpha': 1.61}
outer_fold_0,0,method_scores_plus_method_ranks,ridge,12,nested,spearman,9,10,0.8975,0.8975,{'alpha': 9.05}
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,0,10,0.8433,0.8433,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,1,10,0.8076,0.8433,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,2,10,0.7619,0.8433,"{'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,3,10,0.8709,0.8709,"{'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,4,10,0.8677,0.8709,"{'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,5,10,0.8698,0.8709,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,6,10,0.8441,0.8709,"{'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,7,10,0.8787,0.8787,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,8,10,0.8218,0.8787,"{'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
outer_fold_0,0,method_scores_plus_method_ranks,xgboost,12,nested,spearman,9,10,0.8743,0.8787,"{'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,0,10,0.8849,0.8849,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,1,10,0.8915,0.8915,{'alpha': 452.0}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,2,10,0.8952,0.8952,{'alpha': 13.3}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,3,10,0.8891,0.8952,{'alpha': 1.55}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,4,10,0.8848,0.8952,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,5,10,0.8848,0.8952,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,6,10,0.8848,0.8952,{'alpha': 0.000255}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,7,10,0.8968,0.8968,{'alpha': 116.0}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,8,10,0.8892,0.8968,{'alpha': 1.61}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,ridge,21,nested,spearman,9,10,0.8939,0.8968,{'alpha': 9.05}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,0,10,0.8796,0.8796,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,1,10,0.8929,0.8929,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,2,10,0.8742,0.8929,"{'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,3,10,0.9008,0.9008,"{'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,4,10,0.8926,0.9008,"{'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,5,10,0.9022,0.9022,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,6,10,0.8918,0.9022,"{'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,7,10,0.8949,0.9022,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,8,10,0.8743,0.9022,"{'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary,xgboost,21,nested,spearman,9,10,0.8946,0.9022,"{'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72}"
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,0,10,0.3661,0.3661,{'alpha': 0.0419}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,1,10,0.4368,0.4368,{'alpha': 452.0}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,2,10,0.4456,0.4456,{'alpha': 13.3}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,3,10,0.3938,0.4456,{'alpha': 1.55}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,4,10,0.3639,0.4456,{'alpha': 0.00124}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,5,10,0.3639,0.4456,{'alpha': 0.00124}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,6,10,0.3643,0.4456,{'alpha': 0.000255}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,7,10,0.4441,0.4456,{'alpha': 116.0}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,8,10,0.3946,0.4456,{'alpha': 1.61}
outer_fold_0,0,chemical_descriptors,ridge,13,nested,spearman,9,10,0.436,0.4456,{'alpha': 9.05}
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,0,10,0.4612,0.4612,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,1,10,0.4236,0.4612,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,2,10,0.3902,0.4612,"{'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,3,10,0.4499,0.4612,"{'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,4,10,0.4588,0.4612,"{'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,5,10,0.4429,0.4612,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,6,10,0.4418,0.4612,"{'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,7,10,0.4243,0.4612,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,8,10,0.3964,0.4612,"{'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
outer_fold_0,0,chemical_descriptors,xgboost,13,nested,spearman,9,10,0.3975,0.4612,"{'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,0,10,0.8448,0.8448,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,1,10,0.7971,0.8448,{'alpha': 452.0}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,2,10,0.8616,0.8616,{'alpha': 13.3}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,3,10,0.8531,0.8616,{'alpha': 1.55}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,4,10,0.8438,0.8616,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,5,10,0.8438,0.8616,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,6,10,0.8438,0.8616,{'alpha': 0.000255}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,7,10,0.8529,0.8616,{'alpha': 116.0}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,8,10,0.8532,0.8616,{'alpha': 1.61}
outer_fold_0,0,method_scores_plus_chemical_descriptors,ridge,19,nested,spearman,9,10,0.8596,0.8616,{'alpha': 9.05}
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,0,10,0.8328,0.8328,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,1,10,0.808,0.8328,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,2,10,0.7735,0.8328,"{'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,3,10,0.8661,0.8661,"{'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,4,10,0.8657,0.8661,"{'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,5,10,0.8632,0.8661,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,6,10,0.8387,0.8661,"{'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,7,10,0.8778,0.8778,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,8,10,0.7932,0.8778,"{'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
outer_fold_0,0,method_scores_plus_chemical_descriptors,xgboost,19,nested,spearman,9,10,0.8785,0.8785,"{'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,0,10,0.8493,0.8493,{'alpha': 0.0419}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,1,10,0.8817,0.8817,{'alpha': 452.0}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,2,10,0.8836,0.8836,{'alpha': 13.3}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,3,10,0.8659,0.8836,{'alpha': 1.55}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,4,10,0.8484,0.8836,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,5,10,0.8484,0.8836,{'alpha': 0.00124}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,6,10,0.8485,0.8836,{'alpha': 0.000255}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,7,10,0.8898,0.8898,{'alpha': 116.0}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,8,10,0.8664,0.8898,{'alpha': 1.61}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,ridge,35,nested,spearman,9,10,0.8801,0.8898,{'alpha': 9.05}
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,0,10,0.8832,0.8832,"{'learning_rate': 0.065, 'max_depth': 8, 'n_estimators': 300, 'subsample': 0.799}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,1,10,0.8977,0.8977,"{'learning_rate': 0.00139, 'max_depth': 3, 'n_estimators': 150, 'subsample': 0.933}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,2,10,0.879,0.8977,"{'learning_rate': 0.00112, 'max_depth': 6, 'n_estimators': 400, 'subsample': 0.985}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,3,10,0.9049,0.9049,"{'learning_rate': 0.00282, 'max_depth': 3, 'n_estimators': 550, 'subsample': 0.592}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,4,10,0.8917,0.9049,"{'learning_rate': 0.0117, 'max_depth': 5, 'n_estimators': 250, 'subsample': 0.646}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,5,10,0.9028,0.9049,"{'learning_rate': 0.00529, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.683}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,6,10,0.8944,0.9049,"{'learning_rate': 0.00312, 'max_depth': 7, 'n_estimators': 350, 'subsample': 0.757}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,7,10,0.9021,0.9049,"{'learning_rate': 0.032, 'max_depth': 2, 'n_estimators': 400, 'subsample': 0.585}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,8,10,0.8788,0.9049,"{'learning_rate': 0.247, 'max_depth': 8, 'n_estimators': 100, 'subsample': 0.904}"
outer_fold_0,0,method_scores_plus_method_ranks_plus_rank_summary_plus_glide_uncertainty_plus_chemical_descriptors,xgboost,35,nested,spearman,9,10,0.9007,0.9049,"{'learning_rate': 0.0495, 'max_depth': 2, 'n_estimators': 250, 'subsample': 0.72}"
outer_fold_1,1,method_scores,ridge,6,nested,spearman,0,10,0.8493,0.8493,{'alpha': 0.0419}
outer_fold_1,1,method_scores,ridge,6,nested,spearman,1,10,0.7959,0.8493,{'alpha': 452.0}
outer_fold_1,1,method_scores,ridge,6,nested,spearman,2,10,0.8517,0.8517,{'alpha': 13.3}
outer_fold_1,1,method_scores,ridge,6,nested,spearman,3,10,0.8511,0.8517,{'alpha': 1.55}
